pRetran,sMeanPktSz,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,Max,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,115.428574,0.0,-0.0,64128.0,0.0,29.869024,27598.978516,173240.34375,145641.359375,0.091823,0.200877,0.091335,64.0,0.200877,0.200877,0.0,0.0,0.0,0.0,64.716217,29.869024,1721542656.0,0.200877,7.0,0.0,4266.0,0.0,62.0,31872.0,14.0,7.0,0.200877,808.0,5074.0,609.428589,0.0,0.000488,HTTP
0.0,115.14286,0.0,-0.0,61568.0,0.0,40.048256,27673.345703,295516.09375,267842.75,0.091823,0.199759,0.091335,64.0,0.199759,0.199759,0.0,0.0,0.0,0.0,75.090485,30.036192,1721542656.0,0.199759,7.0,0.0,7523.0,0.0,62.0,31872.0,16.0,9.0,0.199759,806.0,8329.0,835.888916,0.0,0.000488,HTTP
0.0,114.285713,0.0,-0.0,64128.0,0.0,29.685923,27152.724609,194818.8125,167666.09375,0.106883,0.202116,0.106161,64.0,0.202116,0.202116,0.0,0.0,0.0,0.0,64.319504,29.685923,1721542656.0,0.202116,7.0,0.0,4941.0,0.0,62.0,31872.0,14.0,7.0,0.202116,800.0,5741.0,705.857117,0.0,0.000722,HTTP
0.0,122.333336,0.0,-0.0,63488.0,0.0,26.718679,26162.931641,114441.445312,88278.515625,0.09243,0.187135,0.091436,64.0,0.187135,0.187135,0.0,0.0,0.0,0.0,58.781094,26.718679,1721542656.0,0.187135,6.0,0.0,2478.0,0.0,62.0,31872.0,12.0,6.0,0.187135,734.0,3212.0,413.0,0.0,0.000994,HTTP
0.0,108.75,0.0,-0.0,63488.0,0.0,34.922821,30412.787109,243262.390625,212849.59375,0.093371,0.200442,0.092555,64.0,0.200442,0.200442,0.0,0.0,0.0,0.0,74.834618,34.922821,1721542656.0,0.200442,8.0,0.0,6094.0,0.0,62.0,31872.0,16.0,8.0,0.200442,870.0,6964.0,761.75,0.0,0.000816,HTTP
0.0,122.833336,0.0,-0.0,62592.0,0.0,31.998465,26238.740234,177399.484375,151160.75,0.094301,0.187509,0.093304,64.0,0.187509,0.187509,0.0,0.0,0.0,0.0,63.996929,26.665386,1721542656.0,0.187509,6.0,0.0,4133.0,0.0,62.0,31872.0,13.0,7.0,0.187509,737.0,4870.0,590.428589,0.0,0.000997,HTTP
0.0,107.875,0.0,-0.0,64128.0,0.0,34.420189,29739.044922,252073.8125,222334.765625,0.093748,0.203369,0.093748,64.0,0.203369,0.203369,0.0,0.0,0.0,0.0,73.757553,34.420189,1721542656.0,0.203369,8.0,0.0,6459.0,0.0,62.0,31872.0,16.0,8.0,0.203369,863.0,7322.0,807.375,0.0,0.0,HTTP
0.0,108.375,0.0,-0.0,64128.0,0.0,34.58498,30000.0,211462.453125,181462.453125,0.093748,0.2024,0.092822,64.0,0.2024,0.2024,0.0,0.0,0.0,0.0,74.110672,34.58498,1721542656.0,0.2024,8.0,0.0,5246.0,0.0,62.0,31872.0,16.0,8.0,0.2024,867.0,6113.0,655.75,0.0,0.000926,HTTP
0.0,123.5,0.0,-0.0,64128.0,0.0,18.531387,22904.794922,76905.257812,54000.464844,0.107602,0.21585,0.1071,64.0,0.21585,0.21585,0.0,0.0,0.0,0.0,46.328468,23.164234,1721542656.0,0.21585,6.0,0.0,1821.0,0.0,62.0,31872.0,11.0,5.0,0.21585,741.0,2562.0,364.200012,0.0,0.000502,HTTP
0.0,123.0,0.0,-0.0,62592.0,0.0,25.993717,21314.847656,130003.242188,108688.398438,0.105517,0.230825,0.105517,64.0,0.230825,0.230825,0.0,0.0,0.0,0.0,51.987434,21.66143,1721542656.0,0.230825,6.0,0.0,3658.0,0.0,62.0,31872.0,13.0,7.0,0.230825,738.0,4396.0,522.571411,0.0,0.0,HTTP
0.0,114.285713,0.0,-0.0,62592.0,0.0,27.526598,25177.662109,161489.375,136311.71875,0.094239,0.217971,0.093742,64.0,0.217971,0.217971,0.0,0.0,0.0,0.0,59.640961,27.526598,1721542656.0,0.217971,7.0,0.0,4333.0,0.0,62.0,31872.0,14.0,7.0,0.217971,800.0,5133.0,619.0,0.0,0.000497,HTTP
0.0,108.875,0.0,-0.0,60672.0,0.0,34.256546,26137.746094,226983.890625,200846.140625,0.108825,0.233532,0.108825,64.0,0.233532,0.233532,0.0,0.0,0.0,0.0,68.513092,29.97448,1721542656.0,0.233532,8.0,0.0,6595.0,0.0,62.0,31872.0,17.0,9.0,0.233532,871.0,7466.0,732.777771,0.0,0.0,HTTP
0.0,121.666664,0.0,-0.0,64128.0,0.0,18.572084,22620.798828,62885.078125,40264.28125,0.107824,0.215377,0.106733,64.0,0.215377,0.215377,0.0,0.0,0.0,0.0,46.430214,23.215107,1721542656.0,0.215377,6.0,0.0,1355.0,0.0,62.0,31872.0,11.0,5.0,0.215377,730.0,2085.0,271.0,0.0,0.001091,HTTP
0.0,123.666664,0.0,-0.0,64128.0,0.0,18.540836,22953.556641,77204.046875,54250.488281,0.107749,0.21574,0.106734,64.0,0.21574,0.21574,0.0,0.0,0.0,0.0,46.352093,23.176046,1721542656.0,0.21574,6.0,0.0,1828.0,0.0,62.0,31872.0,11.0,5.0,0.21574,742.0,2570.0,365.600006,0.0,0.001015,HTTP
0.0,123.166664,0.0,-0.0,62592.0,0.0,31.950243,26241.798828,185950.40625,159708.609375,0.0931,0.187792,0.091569,64.0,0.187792,0.187792,0.0,0.0,0.0,0.0,63.900486,26.625202,1721542656.0,0.187792,6.0,0.0,4373.0,0.0,62.0,31872.0,13.0,7.0,0.187792,739.0,5112.0,624.714294,0.0,0.001531,HTTP
0.0,122.833336,0.0,-0.0,62592.0,0.0,29.631092,24297.496094,161430.203125,137132.703125,0.10701,0.20249,0.106004,64.0,0.20249,0.20249,0.0,0.0,0.0,0.0,59.262184,24.692577,1721542656.0,0.20249,6.0,0.0,4049.0,0.0,62.0,31872.0,13.0,7.0,0.20249,737.0,4786.0,578.428589,0.0,0.001006,HTTP
0.0,132.199997,0.0,-0.0,64128.0,0.0,31.502264,33329.394531,76613.507812,43284.109375,0.063343,0.126975,0.063343,64.0,0.126975,0.126975,0.0,0.0,0.0,0.0,70.880096,31.502264,1721542656.0,0.126975,5.0,0.0,858.0,0.0,62.0,31872.0,10.0,5.0,0.126975,661.0,1519.0,171.600006,0.0,0.0,HTTP
0.0,130.333328,0.0,-0.0,63488.0,0.0,40.317379,42059.089844,186556.578125,144497.484375,0.061554,0.124016,0.061046,64.0,0.124016,0.124016,0.0,0.0,0.0,0.0,88.698235,40.317379,1721542656.0,0.124016,6.0,0.0,2687.0,0.0,62.0,31872.0,12.0,6.0,0.124016,782.0,3469.0,447.833344,0.0,0.000508,HTTP
0.0,90.800003,0.0,-0.0,67968.0,0.0,89.401901,50541.875,885595.375,835053.5,0.047076,0.201338,0.046256,64.0,0.201338,0.201338,0.0,0.0,0.0,0.0,163.903488,69.534813,1721542656.0,0.201338,15.0,0.0,22183.0,0.0,62.0,31872.0,34.0,19.0,0.201338,1362.0,23545.0,1167.526367,0.0,0.00082,HTTP
0.0,105.333336,0.0,-0.0,64128.0,0.0,64.317413,48195.183594,482123.34375,433928.15625,0.061564,0.139931,0.061068,64.0,0.139931,0.139931,0.0,0.0,0.0,0.0,128.634827,57.171036,1721542656.0,0.139931,9.0,0.0,8433.0,0.0,62.0,31872.0,19.0,10.0,0.139931,948.0,9381.0,843.299988,0.0,0.000496,HTTP
0.0,96.909088,0.0,-0.0,64128.0,0.0,83.649162,49932.113281,759122.5625,709190.4375,0.061564,0.155411,0.061068,64.0,0.155411,0.155411,0.0,0.0,0.0,0.0,154.429214,64.345505,1721542656.0,0.155411,11.0,0.0,14836.0,0.0,62.0,31872.0,25.0,14.0,0.155411,1066.0,15902.0,1059.714233,0.0,0.000496,HTTP
0.0,122.5,0.0,-0.0,63488.0,0.0,38.484234,31454.447266,203248.078125,171793.625,0.062088,0.155908,0.061095,64.0,0.155908,0.155908,0.0,0.0,0.0,0.0,76.968468,32.070194,1721542656.0,0.155908,6.0,0.0,3905.0,0.0,62.0,31872.0,13.0,7.0,0.155908,735.0,4640.0,557.857117,0.0,0.000993,HTTP
0.0,122.666664,0.0,-0.0,64128.0,0.0,25.738037,31606.310547,86788.664062,55182.351562,0.061694,0.155412,0.061197,64.0,0.155412,0.155412,0.0,0.0,0.0,0.0,64.345093,32.172546,1721542656.0,0.155412,6.0,0.0,1339.0,0.0,62.0,31872.0,11.0,5.0,0.155412,736.0,2075.0,267.799988,0.0,0.000497,HTTP
0.0,108.75,0.0,-0.0,61568.0,0.0,53.725025,32750.775391,459112.5625,426361.8125,0.061694,0.186133,0.060701,64.0,0.186133,0.186133,0.0,0.0,0.0,0.0,96.705048,37.607517,1721542656.0,0.186133,8.0,0.0,10912.0,0.0,62.0,31872.0,19.0,11.0,0.186133,870.0,11782.0,992.0,0.0,0.000993,HTTP
0.0,73.0,0.0,-0.0,167040.0,0.0,172.741852,70767.4375,2047821.125,1977053.75,0.078221,0.387862,0.0772,64.0,0.387862,0.387862,0.0,0.0,0.0,0.0,296.497223,121.177124,1721542656.0,0.387862,48.0,0.0,97283.0,0.0,62.0,31872.0,116.0,68.0,0.387862,3504.0,100787.0,1430.632324,0.0,0.001021,HTTP
0.0,97.36364,0.0,-0.0,62592.0,0.0,58.978703,41778.367188,490745.71875,448967.34375,0.07694,0.186508,0.076442,64.0,0.186508,0.186508,0.0,0.0,0.0,0.0,117.957405,53.617004,1721542656.0,0.186508,11.0,0.0,11418.0,0.0,62.0,31872.0,23.0,12.0,0.186508,1071.0,12489.0,951.5,0.0,0.000498,HTTP
0.0,75.771431,0.0,-0.0,145280.0,0.0,121.966095,49303.0,1415782.375,1366479.375,0.077496,0.418149,0.076998,64.0,0.418149,0.418149,0.0,0.0,0.0,0.0,205.66832,81.31073,1721542656.0,0.418149,35.0,0.0,72824.0,0.0,62.0,31872.0,87.0,52.0,0.418149,2652.0,75476.0,1400.461548,0.0,0.000498,HTTP
0.0,64.0,0.0,-0.0,8222720.0,0.0,0.0,6445.846191,6445.846191,0.0,0.001718,0.079431,0.0,64.0,0.079431,0.079431,0.0,0.0,0.0,0.0,25.179087,12.589543,1721542656.0,0.079431,2.0,0.0,74.0,0.0,62.0,4077568.0,3.0,1.0,0.079431,128.0,202.0,74.0,0.0,0.001718,HTTP
0.0,126.833336,0.0,-0.0,62592.0,0.0,27.654739,23414.347656,144652.734375,121238.382812,0.106224,0.216961,0.105151,64.0,0.216961,0.216961,0.0,0.0,0.0,0.0,55.309479,23.045616,1721542656.0,0.216961,6.0,0.0,3835.0,0.0,62.0,31872.0,13.0,7.0,0.216961,761.0,4596.0,547.857117,0.0,0.001073,HTTP
0.0,64.0,0.0,-0.0,8222720.0,0.0,0.0,4782.186523,4782.186523,0.0,0.001073,0.107064,0.0,64.0,0.107064,0.107064,0.0,0.0,0.0,0.0,18.680416,9.340208,1721542656.0,0.107064,2.0,0.0,74.0,0.0,62.0,4077568.0,3.0,1.0,0.107064,128.0,202.0,74.0,0.0,0.001073,HTTP
0.0,127.333336,0.0,-0.0,64128.0,0.0,23.045616,23488.091797,90301.945312,66813.851562,0.107064,0.216961,0.105479,64.0,0.216961,0.216961,0.0,0.0,0.0,0.0,50.700356,23.045616,1721542656.0,0.216961,6.0,0.0,2174.0,0.0,62.0,31872.0,12.0,6.0,0.216961,764.0,2938.0,362.333344,0.0,0.001585,HTTP
0.0,79.4375,0.0,-0.0,119296.0,0.0,102.45002,41197.453125,1173031.75,1131834.375,0.108603,0.478282,0.107032,64.0,0.478282,0.478282,0.0,0.0,0.0,0.0,169.356155,64.815315,1721542656.0,0.478282,32.0,0.0,69047.0,0.0,62.0,31872.0,82.0,50.0,0.478282,2542.0,71589.0,1380.939941,0.0,0.001571,HTTP
0.0,81.39286,0.0,-0.0,145920.0,0.0,103.353096,35634.527344,1186185.5,1150551.0,0.106938,0.493454,0.106938,64.0,0.493454,0.493454,0.0,0.0,0.0,0.0,160.095978,54.716347,1721542656.0,0.493454,28.0,0.0,72359.0,0.0,62.0,31872.0,80.0,52.0,0.493454,2279.0,74638.0,1391.519287,0.0,0.0,HTTP
0.0,127.0,0.0,-0.0,64128.0,0.0,18.190168,23101.515625,72833.4375,49731.921875,0.106527,0.219899,0.106023,64.0,0.219899,0.219899,0.0,0.0,0.0,0.0,45.475422,22.737711,1721542656.0,0.219899,6.0,0.0,1708.0,0.0,62.0,31872.0,11.0,5.0,0.219899,762.0,2470.0,341.600006,0.0,0.000504,HTTP
0.0,76.08889,0.0,-0.0,161280.0,0.0,123.509529,54230.808594,1457428.625,1403197.875,0.09364,0.493889,0.09364,64.0,0.493889,0.493889,0.0,0.0,0.0,0.0,214.623123,89.088844,1721542656.0,0.493889,45.0,0.0,88048.0,0.0,62.0,31872.0,107.0,62.0,0.493889,3424.0,91472.0,1420.129028,0.0,0.0,HTTP
0.0,74.5,0.0,-0.0,127360.0,0.0,160.393143,54444.558594,1894920.25,1840475.625,0.123024,0.448897,0.122031,64.0,0.448897,0.448897,0.0,0.0,0.0,0.0,253.955811,91.334984,1721542656.0,0.448897,42.0,0.0,104707.0,0.0,62.0,31872.0,115.0,73.0,0.448897,3129.0,107836.0,1434.342407,0.0,0.000993,HTTP
0.0,129.0,0.0,-0.0,63488.0,0.0,40.37207,41663.976562,219559.46875,177895.484375,0.060745,0.123848,0.060252,64.0,0.123848,0.123848,0.0,0.0,0.0,0.0,88.81855,40.37207,1721542656.0,0.123848,6.0,0.0,3304.0,0.0,62.0,31872.0,12.0,6.0,0.123848,774.0,4078.0,550.666687,0.0,0.000493,HTTP
0.0,109.714287,0.0,-0.0,62592.0,0.0,48.523666,42636.128906,273155.90625,230519.765625,0.061108,0.123651,0.060616,64.0,0.123651,0.123651,0.0,0.0,0.0,0.0,105.134613,48.523666,1721542656.0,0.123651,7.0,0.0,4156.0,0.0,62.0,31872.0,14.0,7.0,0.123651,768.0,4924.0,593.714294,0.0,0.000492,HTTP
0.0,108.85714,0.0,-0.0,62592.0,0.0,48.319294,42134.425781,239599.28125,197464.84375,0.060616,0.124174,0.060121,64.0,0.124174,0.124174,0.0,0.0,0.0,0.0,104.691803,48.319294,1721542656.0,0.124174,7.0,0.0,3575.0,0.0,62.0,31872.0,14.0,7.0,0.124174,762.0,4337.0,510.714294,0.0,0.000495,HTTP
0.0,116.0,0.0,-0.0,64128.0,0.0,35.665371,33097.464844,173647.5625,140550.09375,0.061103,0.140192,0.060608,64.0,0.140192,0.140192,0.0,0.0,0.0,0.0,78.463821,35.665371,1721542656.0,0.140192,6.0,0.0,2955.0,0.0,62.0,31872.0,12.0,6.0,0.140192,696.0,3651.0,492.5,0.0,0.000495,HTTP
0.0,116.166664,0.0,-0.0,64128.0,0.0,32.678032,30377.496094,120568.859375,90191.359375,0.060608,0.153008,0.060101,64.0,0.153008,0.153008,0.0,0.0,0.0,0.0,71.891663,32.678032,1721542656.0,0.153008,6.0,0.0,2070.0,0.0,62.0,31872.0,12.0,6.0,0.153008,697.0,2767.0,345.0,0.0,0.000507,HTTP
0.0,116.666664,0.0,-0.0,64128.0,0.0,32.784519,30633.855469,166230.625,135596.78125,0.060608,0.152511,0.060101,64.0,0.152511,0.152511,0.0,0.0,0.0,0.0,72.125946,32.784519,1721542656.0,0.152511,6.0,0.0,3101.0,0.0,62.0,31872.0,12.0,6.0,0.152511,700.0,3801.0,516.833313,0.0,0.000507,HTTP
0.0,116.5,0.0,-0.0,64128.0,0.0,32.786671,30583.40625,170857.890625,140274.484375,0.060596,0.152501,0.060596,64.0,0.152501,0.152501,0.0,0.0,0.0,0.0,72.130676,32.786671,1721542656.0,0.152501,6.0,0.0,3208.0,0.0,62.0,31872.0,12.0,6.0,0.152501,699.0,3907.0,534.666687,0.0,0.0,HTTP
0.0,117.0,0.0,-0.0,64128.0,0.0,32.024185,29974.636719,166577.0,136602.359375,0.075505,0.156132,0.07449,64.0,0.156132,0.156132,0.0,0.0,0.0,0.0,70.453209,32.024185,1721542656.0,0.156132,6.0,0.0,3199.0,0.0,62.0,31872.0,12.0,6.0,0.156132,702.0,3901.0,533.166687,0.0,0.001015,HTTP
0.0,93.272728,0.0,-0.0,60416.0,0.0,71.144455,48274.746094,635488.125,587213.375,0.07498,0.154615,0.07498,64.0,0.154615,0.154615,0.0,0.0,0.0,0.0,142.28891,64.676781,1721542656.0,0.154615,11.0,0.0,12380.0,0.0,62.0,31872.0,23.0,12.0,0.154615,1026.0,13406.0,1031.666626,0.0,0.0,HTTP
0.0,116.666664,0.0,-0.0,64128.0,0.0,25.69043,30006.423828,107591.523438,77585.101562,0.076551,0.1557,0.076054,64.0,0.1557,0.1557,0.0,0.0,0.0,0.0,64.226074,32.113037,1721542656.0,0.1557,6.0,0.0,1887.0,0.0,62.0,31872.0,11.0,5.0,0.1557,700.0,2587.0,377.399994,0.0,0.000497,HTTP
0.0,126.199997,0.0,-0.0,64128.0,0.0,25.691422,25948.335938,61556.644531,35608.308594,0.07655,0.155694,0.07655,64.0,0.155694,0.155694,0.0,0.0,0.0,0.0,57.805698,25.691422,1721542656.0,0.155694,5.0,0.0,866.0,0.0,62.0,31872.0,10.0,5.0,0.155694,631.0,1497.0,173.199997,0.0,0.0,HTTP
0.0,108.300003,0.0,-0.0,63488.0,0.0,57.905556,45166.335938,471073.28125,425906.96875,0.075124,0.172695,0.074307,64.0,0.172695,0.172695,0.0,0.0,0.0,0.0,115.811111,52.115002,1721542656.0,0.172695,10.0,0.0,10113.0,0.0,62.0,31872.0,21.0,11.0,0.172695,1083.0,11196.0,919.363647,0.0,0.000817,HTTP
0.0,64.748138,0.0,-0.0,847872.0,0.0,502.327301,117082.40625,6186184.0,6069101.5,0.075124,2.964203,0.074307,64.0,2.964203,2.964203,0.0,0.0,0.0,0.0,728.695068,226.030411,1721542656.0,2.964203,671.0,0.0,2250266.0,0.0,62.0,31872.0,2161.0,1490.0,2.964203,43446.0,2293712.0,1510.245605,0.0,0.000817,HTTP
0.0,96.0,0.0,-0.0,64128.0,0.0,58.020794,40103.972656,455997.03125,415893.0625,0.079956,0.172352,0.078504,64.0,0.172352,0.172352,0.0,0.0,0.0,0.0,116.041588,52.218716,1721542656.0,0.172352,10.0,0.0,9856.0,0.0,62.0,31872.0,21.0,11.0,0.172352,960.0,10816.0,896.0,0.0,0.001452,HTTP
0.0,115.428574,0.0,-0.0,64128.0,0.0,22.850441,21113.806641,151087.109375,129973.304688,0.10794,0.262577,0.107443,64.0,0.262577,0.262577,0.0,0.0,0.0,0.0,49.509289,22.850441,1721542656.0,0.262577,7.0,0.0,4976.0,0.0,62.0,31872.0,14.0,7.0,0.262577,808.0,5784.0,710.857117,0.0,0.000497,HTTP
0.0,116.666664,0.0,-0.0,62592.0,0.0,19.292295,15022.266602,109348.726562,94326.460938,0.140485,0.311005,0.13999,64.0,0.311005,0.311005,0.0,0.0,0.0,0.0,38.584591,16.076912,1721542656.0,0.311005,6.0,0.0,4278.0,0.0,62.0,31872.0,13.0,7.0,0.311005,700.0,4978.0,611.142883,0.0,0.000495,HTTP
0.0,124.333336,0.0,-0.0,64128.0,0.0,10.86992,13522.180664,32196.703125,18674.523438,0.167715,0.367988,0.166678,64.0,0.367988,0.367988,0.0,0.0,0.0,0.0,27.174799,13.587399,1721542656.0,0.367988,6.0,0.0,1073.0,0.0,62.0,31872.0,11.0,5.0,0.367988,746.0,1819.0,214.600006,0.0,0.001037,HTTP
0.0,126.166664,0.0,-0.0,64128.0,0.0,4.764478,4810.216797,16999.65625,12189.439453,0.167367,1.049433,0.166865,64.0,1.049433,1.049433,14.285714,2.0,2.0,0.0,10.481851,4.764478,1721542656.0,1.049433,6.0,0.0,1918.0,0.0,62.0,31872.0,12.0,6.0,1.049433,757.0,2675.0,319.666656,0.0,0.000502,HTTP
0.0,82.714287,0.0,-0.0,64128.0,0.0,49.904625,24471.75,547132.125,522660.375,0.169339,0.541032,0.166343,64.0,0.541032,0.541032,0.0,0.0,0.0,0.0,88.719337,36.966389,1721542656.0,0.541032,21.0,0.0,36656.0,0.0,62.0,31872.0,49.0,28.0,0.541032,1737.0,38393.0,1309.142822,0.0,0.002996,HTTP
0.0,75.583336,0.0,-0.0,100480.0,0.0,62.417213,24467.546875,721626.1875,697158.625,0.20107,0.865146,0.197586,64.0,0.865146,0.865146,0.0,0.0,0.0,0.0,104.028687,40.455601,1721542656.0,0.865146,36.0,0.0,76789.0,0.0,62.0,31872.0,91.0,55.0,0.865146,2721.0,79510.0,1396.163696,0.0,0.003484,HTTP
0.0,120.714287,0.0,-0.0,62592.0,0.0,14.300219,13823.544922,77564.390625,63740.84375,0.217312,0.419574,0.216812,64.0,0.419574,0.419574,0.0,0.0,0.0,0.0,30.983809,14.300219,1721542656.0,0.419574,7.0,0.0,3900.0,0.0,62.0,31872.0,14.0,7.0,0.419574,845.0,4745.0,557.142883,0.0,0.0005,HTTP
