TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e  S     ,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e dS     ,Flgs_ e g      ,Flgs_ e i      ,Flgs_ e r      ,Flgs_ e s      ,Proto_tcp,Cause_Status,Cause_Stop,Dir_   ?>,Dir_  <->,Dir_  <?>,State_A_A,State_A_FA,State_A_FPA,State_A_PA,State_A_R,State_A_SA,State_ECO,State_FA_A,State_FA_FA,State_FA_FPA,State_FA_FSA,State_FA_PA,State_FA_R,State_FA_SA,State_FPA_A,State_FPA_FPA,State_FPA_FSPA,State_FRA_A,State_FRA_FPA,State_FRA_PA,State_FRPA_FPA,State_FRPA_FSPA,State_FRPA_PA,State_FRPA_SPA,State_FSA_FSA,State_FSA_SA,State_FSPA_FSPA,State_FSRPA_FSPA,State_FSRPA_SPA,State_PA_,State_PA_A,State_PA_FPA,State_PA_FSPA,State_PA_PA,State_PA_R,State_PA_SA,State_PA_SPA,State_RA_,State_RA_A,State_RA_FPA,State_RA_PA,State_RPA_FPA,State_RPA_FSPA,State_R_,State_R_A,State_R_FA,State_R_FPA,State_R_PA,State_R_SA,State_SA_SA,State_SPA_FSPA,State_SPA_SA,State_SPA_SPA,State_SRPA_FSPA,State_SR_SA,State_S_,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__SA,TcpOpt_   S  T,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
6557.0,868.0,5689.0,0.0,0.0,108.5,711.125,61568.0,31872.0,0.155642,1721542400.0,0.155642,0.0,0.155642,0.155642,0.155642,62.0,64.0,0.075755,0.000973,0.074782,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,294933.25,39064.003906,255869.234375,0.0,0.0,96.375015,44.975006,44.975006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6546.0,867.0,5679.0,0.0,0.0,108.375,709.875,64128.0,31872.0,0.184334,1721542400.0,0.184334,0.0,0.184334,0.184334,0.184334,62.0,64.0,0.074782,0.001003,0.073779,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,248635.640625,32940.207031,215695.421875,0.0,0.0,81.374031,37.974548,37.974548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5532.0,755.0,4777.0,0.0,0.0,125.833336,682.428589,62592.0,31872.0,0.170165,1721542400.0,0.170165,0.0,0.170165,0.170165,0.170165,62.0,64.0,0.075607,0.001015,0.074592,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,222137.328125,29618.310547,192519.015625,0.0,0.0,70.519791,29.383245,35.259895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4503.0,737.0,3766.0,0.0,0.0,122.833336,538.0,62592.0,31872.0,0.186067,1721542400.0,0.186067,0.0,0.186067,0.186067,0.186067,62.0,64.0,0.094656,0.000912,0.093744,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,165230.796875,26442.087891,138788.71875,0.0,0.0,64.492897,26.87204,32.246449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6398.0,867.0,5531.0,0.0,0.0,108.375,691.375,61568.0,31872.0,0.184676,1721542400.0,0.184676,0.0,0.184676,0.184676,0.184676,62.0,64.0,0.090078,0.0,0.090078,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,242543.6875,32879.203125,209664.484375,0.0,0.0,81.223328,37.904221,37.904221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6072.0,803.0,5269.0,0.0,0.0,114.714287,658.625,64128.0,31872.0,0.185418,1721542400.0,0.185418,0.0,0.185418,0.185418,0.185418,62.0,64.0,0.092765,0.0,0.092765,15.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,228672.515625,29727.427734,198945.09375,0.0,0.0,75.505074,32.359318,37.752537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7761.0,804.0,6957.0,0.0,0.0,114.85714,773.0,60672.0,31872.0,0.202882,1721542400.0,0.202882,0.0,0.202882,0.202882,0.202882,62.0,64.0,0.093322,0.001002,0.09232,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-0.0,271054.09375,27207.933594,243846.171875,0.0,0.0,73.934601,29.573839,39.431786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5074.0,808.0,4266.0,0.0,0.0,115.428574,609.428589,64128.0,31872.0,0.200877,1721542400.0,0.200877,0.0,0.200877,0.200877,0.200877,62.0,64.0,0.091823,0.000488,0.091335,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,173240.34375,27598.978516,145641.359375,0.0,0.0,64.716217,29.869024,29.869024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8329.0,806.0,7523.0,0.0,0.0,115.14286,835.888916,61568.0,31872.0,0.199759,1721542400.0,0.199759,0.0,0.199759,0.199759,0.199759,62.0,64.0,0.091823,0.000488,0.091335,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-0.0,295516.09375,27673.345703,267842.75,0.0,0.0,75.090485,30.036192,40.048256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5741.0,800.0,4941.0,0.0,0.0,114.285713,705.857117,64128.0,31872.0,0.202116,1721542400.0,0.202116,0.0,0.202116,0.202116,0.202116,62.0,64.0,0.106883,0.000722,0.106161,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,194818.8125,27152.724609,167666.09375,0.0,0.0,64.319504,29.685923,29.685923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3212.0,734.0,2478.0,0.0,0.0,122.333336,413.0,63488.0,31872.0,0.187135,1721542400.0,0.187135,0.0,0.187135,0.187135,0.187135,62.0,64.0,0.09243,0.000994,0.091436,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.0,114441.445312,26162.931641,88278.515625,0.0,0.0,58.781094,26.718679,26.718679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6964.0,870.0,6094.0,0.0,0.0,108.75,761.75,63488.0,31872.0,0.200442,1721542400.0,0.200442,0.0,0.200442,0.200442,0.200442,62.0,64.0,0.093371,0.000816,0.092555,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,243262.390625,30412.787109,212849.59375,0.0,0.0,74.834618,34.922821,34.922821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4870.0,737.0,4133.0,0.0,0.0,122.833336,590.428589,62592.0,31872.0,0.187509,1721542400.0,0.187509,0.0,0.187509,0.187509,0.187509,62.0,64.0,0.094301,0.000997,0.093304,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,177399.484375,26238.740234,151160.75,0.0,0.0,63.996929,26.665386,31.998465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7322.0,863.0,6459.0,0.0,0.0,107.875,807.375,64128.0,31872.0,0.203369,1721542400.0,0.203369,0.0,0.203369,0.203369,0.203369,62.0,64.0,0.093748,0.0,0.093748,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,252073.8125,29739.044922,222334.765625,0.0,0.0,73.757553,34.420189,34.420189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
