TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e i      ,Flgs_ e s      ,Cause_Start,Cause_Status,State_A_A,State_A_FA,State_A_PA,State_FA_,State_FA_A,State_FA_FA,State_FPA_,State_FPA_PA,State_FRPA_A,State_PA_,State_PA_A,State_PA_FPA,State_PA_PA,State_RA_,State_R_,State_S_,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__RA,State__SA,TcpOpt_MwsS  T,label
74.0,0.0,74.0,0.0,0.0,0.0,74.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.167658,0.000521,0.167137,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
72.0,72.0,0.0,0.0,0.0,72.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.167658,0.000521,0.167137,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103.0,0.0,103.0,0.0,0.0,0.0,103.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.167658,0.000521,0.167137,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
530.0,530.0,0.0,0.0,0.0,530.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.167658,0.000521,0.167137,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,0.0,74.0,0.0,0.0,0.0,74.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.167658,0.000521,0.167137,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
72.0,72.0,0.0,0.0,0.0,72.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.167658,0.000521,0.167137,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141.0,0.0,141.0,0.0,0.0,0.0,70.5,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.167658,0.000521,0.167137,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
132.0,66.0,66.0,0.0,0.0,66.0,66.0,64256.0,31872.0,0.000942,1721543808.0,0.000942,0.0,0.000942,0.000942,0.000942,62.0,64.0,0.167658,0.000521,0.167137,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1061.571167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,0.0,74.0,0.0,0.0,0.0,74.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.001491,0.001491,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
66.0,66.0,0.0,0.0,0.0,66.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110.0,0.0,110.0,0.0,0.0,0.0,110.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
216.0,150.0,66.0,0.0,0.0,75.0,66.0,64256.0,31872.0,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105.0,0.0,105.0,0.0,0.0,0.0,105.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
100.0,100.0,0.0,0.0,0.0,100.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,0.0,74.0,0.0,0.0,0.0,74.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
99.0,99.0,0.0,0.0,0.0,99.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,0.0,74.0,0.0,0.0,0.0,74.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
72.0,72.0,0.0,0.0,0.0,72.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103.0,0.0,103.0,0.0,0.0,0.0,103.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
542.0,542.0,0.0,0.0,0.0,542.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,0.0,74.0,0.0,0.0,0.0,74.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
72.0,72.0,0.0,0.0,0.0,72.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141.0,0.0,141.0,0.0,0.0,0.0,70.5,607498.3887857646,673827.0693162259,0.000502,1721543808.0,0.000502,0.0,0.000502,0.000502,0.000502,62.0,64.0,0.170214,0.001491,0.168723,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,1131474.125,0.0,1131474.125,0.0,0.0,1992.031982,0.0,1992.031982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
132.0,132.0,0.0,0.0,0.0,66.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,0.0,66.0,0.0,0.0,0.0,66.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.170214,0.001491,0.168723,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148.0,74.0,74.0,0.0,0.0,74.0,74.0,8222720.0,4077568.0,0.000976,1721543808.0,0.000976,0.0,0.000976,0.000976,0.000976,62.0,64.0,0.000976,0.000976,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1024.59021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,66.0,0.0,0.0,0.0,66.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153765,0.000976,0.152789,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110.0,0.0,110.0,0.0,0.0,0.0,110.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153765,0.000976,0.152789,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
150.0,150.0,0.0,0.0,0.0,75.0,0.0,64256.0,673827.0693162259,0.000501,1721543808.0,0.000501,0.0,0.000501,0.000501,0.000501,62.0,64.0,0.153765,0.000976,0.152789,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1197604.875,1197604.875,0.0,0.0,0.0,1996.008057,1996.008057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,0.0,66.0,0.0,0.0,0.0,66.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153765,0.000976,0.152789,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105.0,0.0,105.0,0.0,0.0,0.0,105.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153765,0.000976,0.152789,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
100.0,100.0,0.0,0.0,0.0,100.0,0.0,64256.0,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153765,0.000976,0.152789,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,0.0,74.0,0.0,0.0,0.0,74.0,607498.3887857646,673827.0693162259,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153765,0.000976,0.152789,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
