TcpRtt_Greater,TcpRtt_Equal,TcpRtt_Smaller,class,label
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
0,1,0,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,1,0,HTTP,2
0,0,1,HTTP,2
0,0,1,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
1,0,0,HTTP,2
0,0,1,HTTP,2
